protein,cluster,table,tissue
LOC_Os03g04169.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g01190.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g16410.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g51710.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g11180.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g29400.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g05830.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os04g56620.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g45320.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os11g02400.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g48660.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g41390.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g52290.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g07800.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g06550.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os09g27420.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g59710.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g30310.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os10g19880.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g13990.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g03290.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g42230.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g36900.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g33020.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g11050.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g43630.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g02880.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os04g36859.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g19970.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os11g24510.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g14740.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g11550.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g46770.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g05470.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os07g38270.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g25310.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g03770.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g06200.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os07g36600.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g07220.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g09210.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os04g56646.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g16910.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g16870.3,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g16660.2,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g53670.2,Cluster_6,S2D_133mRNAs,embryo
LOC_Os10g28020.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g43550.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g10070.2,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g64520.1,Cluster_7,S2F_12mRNAs,endosperm
LOC_Os02g52710.1,Cluster_7,S2F_12mRNAs,endosperm
LOC_Os08g36900.1,Cluster_7,S2F_12mRNAs,endosperm
LOC_Os12g37650.1,Cluster_7,S2F_12mRNAs,endosperm
LOC_Os01g12730.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os01g25610.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os02g48660.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os08g02690.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os03g31360.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os03g03810.1,Cluster_8,S2F_12mRNAs,endosperm
LOC_Os02g06410.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os07g31540.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os12g05210.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os03g06360.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g16920.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os06g23350.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os05g35460.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g12580.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os09g08910.1,Cluster_9,S2H_96mRNAs,endosperm
