locus,protein,t_test,emb_protein_log2fc
LOC_Os02g48390,LOC_Os02g48390.1,0.61,-0.18
LOC_Os06g22070,LOC_Os06g22070.1,0.61,0.38
LOC_Os02g48480,LOC_Os02g48480.1,0.61,0.26
LOC_Os01g37770,LOC_Os01g37770.1,0.61,-0.26
LOC_Os08g08840,LOC_Os08g08840.1,0.62,0.15
LOC_Os01g66560,LOC_Os01g66560.1,0.62,0.19
LOC_Os04g57010,LOC_Os04g57010.1,0.62,-0.25
LOC_Os02g16550,LOC_Os02g16550.1,0.62,0.8
LOC_Os06g49480,LOC_Os06g49480.1,0.62,0.23
LOC_Os02g49090,LOC_Os02g49090.1,0.62,-0.31
LOC_Os08g39140,LOC_Os08g39140.1,0.62,0.16
LOC_Os06g12030,LOC_Os06g12030.1,0.62,0.16
LOC_Os02g45070,LOC_Os02g45070.1,0.62,-0.23
LOC_Os02g52430,LOC_Os02g52430.1,0.62,0.19
LOC_Os05g31000,LOC_Os05g31000.1,0.63,0.22
LOC_Os03g28410,LOC_Os03g28410.1,0.63,-0.16
LOC_Os06g51150,LOC_Os06g51150.1,0.63,0.17
LOC_Os06g06030,LOC_Os06g06030.1,0.63,0.27
LOC_Os02g04320,LOC_Os02g04320.1,0.63,-0.4
LOC_Os10g38489,LOC_Os10g38489.1,0.63,0.23
LOC_Os03g04220,LOC_Os03g04220.1,0.63,-0.21
LOC_Os09g39550,LOC_Os09g39550.1,0.63,0.33
LOC_Os02g50210,LOC_Os02g50210.1,0.63,0.39
LOC_Os07g48490,LOC_Os07g48490.2,0.63,0.16
LOC_Os08g44770,LOC_Os08g44770.1,0.63,-0.31
LOC_Os03g60740,LOC_Os03g60740.1,0.63,-0.36
LOC_Os08g07830,LOC_Os08g07830.1,0.63,0.21
LOC_Os05g23720,LOC_Os05g23720.1,0.63,0.21
LOC_Os09g30418,LOC_Os09g30418.1,0.63,-0.15
LOC_Os08g44840,LOC_Os08g44840.1,0.63,-0.38
LOC_Os05g05940,LOC_Os05g05940.1,0.63,-0.33
LOC_Os12g36640,LOC_Os12g36640.1,0.63,0.27
LOC_Os02g47140,LOC_Os02g47140.1,0.63,0.1
LOC_Os10g42299,LOC_Os10g42299.3,0.64,0.39
LOC_Os03g15780,LOC_Os03g15780.1,0.64,-0.17
LOC_Os07g14280,LOC_Os07g14280.1,0.64,0.24
LOC_Os08g39070,LOC_Os08g39070.1,0.64,0.21
LOC_Os06g45710,LOC_Os06g45710.1,0.64,0.14
LOC_Os07g40620,LOC_Os07g40620.1,0.64,-0.16
LOC_Os08g25090,LOC_Os08g25090.2,0.64,0.15
LOC_Os01g50960,LOC_Os01g50960.1,0.64,-0.36
LOC_Os02g06370,LOC_Os02g06370.1,0.64,-0.36
LOC_Os03g07180,LOC_Os03g07180.1,0.64,-0.34
LOC_Os04g50204,LOC_Os04g50204.1,0.64,0.33
